hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
152967,Cc1ccc2c(c1)CCC2C(=O)N1CCCC(N)(C(N)=O)C1,MQJROWYPLQMSTJ-UHFFFAOYSA-N,1,4,"{284328, 284329, 284326, 284327}",['iter2'],1,{1},[151919],"{62347, 139966}",[31565],Amidation,False,[124236],"A3665a, A4386a, A4202a"
156118,CNC(=O)C1CCN(C(=O)Cc2ccccc2C)C1,GTGGOLVXNFWBRI-UHFFFAOYSA-N,1,2,"{300544, 300543}",['iter2'],1,{1},[154965],"{124336, 155450}",[34609],Amidation,False,[124237],A4317a
124770,CC1CCC(C(N)=O)CN1C(=O)Cc1cccc(I)c1,WFNGOXIOGZHFJV-UHFFFAOYSA-N,1,7,"{220179, 220180, 220181, 220182, 214905, 214906, 214907}",['iter2'],1,{1},[122515],"{124371, 62373}",[2180],Amidation,False,[124229],"A3665a, A4386a, A4202a"
151927,NC(=O)C1(N)CCCN(C(=O)Cc2ccc(O)cn2)C1,OGUDHULYIXCTNW-UHFFFAOYSA-N,1,1,{279448},['iter2'],1,{1},[150892],"{62347, 150459}",[30538],Amidation,False,[124230],A4283a
152970,Cc1ccc2c(c1)CCC2C(=O)N1CCC2CNC(=O)C2C1,GYGUTJHWMRXMJZ-UHFFFAOYSA-N,1,5,"{284336, 284337, 284338, 284339, 284340}",['iter2'],1,{1},[151922],"{139966, 62359}",[31568],Amidation,False,[124236],"A3665a, A4386a, A4202a"
122849,CC1CCC(C(N)=O)CN1C(=O)C1CSc2ccccc21,DPTOBIYTNLZBMB-UHFFFAOYSA-N,1,16,"{208171, 208172, 208173, 208174, 208175, 208176, 208177, 208178, 293139, 293140, 293141, 293142, 293143, 293144, 293145, 293146}",['iter2'],1,{1},[120694],"{122829, 62373}",[337],Amidation,False,[122496],A4386a
153068,O=C1NCC2CCN(C(=O)C3CCc4ccc(Cl)cc43)CC12,LWDFURMJXWHDOS-UHFFFAOYSA-N,1,5,"{284847, 284848, 284849, 284850, 284851}",['iter2'],1,{1},[152020],"{139977, 62359}",[31666],Amidation,False,[124236],"A3665a, A4386a, A4202a"
125818,NC(=O)C1(F)CCCN(C(=O)Cc2ccccc2I)C1,WSCMPGCOABPSAQ-UHFFFAOYSA-N,1,4,"{218104, 218105, 223354, 223353}",['iter2'],1,{1},[123543],"{124434, 62363}",[3206],Amidation,False,[124229],"A3665a, A4386a, A4202a"
140069,Cc1ccc2c(c1)CCC2C(=O)NCCc1ncoc1C,WXSIKHAJPCJDFV-UHFFFAOYSA-N,1,2,"{246112, 246111}",['iter2'],1,{1},[138381],"{139966, 135318}",[18041],Amidation,False,[124220],A3392a
122850,NC(=O)C1(F)CCCN(C(=O)C2CSc3ccccc32)C1,KMYHYEWKIDCDGG-UHFFFAOYSA-N,1,6,"{292846, 292847, 292848, 208179, 208180, 208181}",['iter2'],1,{1},[120695],"{62363, 122829}",[338],Amidation,False,[122496],A4386a
155788,O=C(NNC(=O)C1CCNC1)C(=O)c1ccccc1,BUCDFDLOJFOCHA-UHFFFAOYSA-N,1,2,"{299400, 299399}",['iter2'],1,{1},[154636],"{124413, 155479}",[34280],Amidation,False,[124237],A4317a
124354,NC(=O)C1CCCN(C(=O)C(O)c2ccccc2)C1,VHHVVAFHGPYRCQ-UHFFFAOYSA-N,1,7,"{218858, 218859, 218860, 213583, 213584, 213585, 213586}",['iter2'],1,{1},[122131],"{124353, 62341}",[1796],Amidation,False,[124229],"A3665a, A4386a, A4202a"
126033,C=C(C(=O)N1CCCC(C(=O)NC)C1)c1ccccc1,SGDWXVARDATYKX-UHFFFAOYSA-N,1,1,{222948},['iter2'],1,{1},[123753],"{62365, 124302}",[3416],Amidation,False,[124229],"A3665a, A4386a, A4202a"
124679,Cc1ccc(CC(=O)N2CCCC(F)(C(N)=O)C2)cc1,BFHHANFVEQUOLN-UHFFFAOYSA-N,1,4,"{219935, 214661, 214662, 219934}",['iter2'],1,{1},[122425],"{62363, 124422}",[2090],Amidation,False,[124229],"A3665a, A4386a, A4202a"
152335,Cc1ccc2c(c1)CCC2C(=O)N1CCCC(C(N)=O)C1,GUPJVHNSDSHULS-UHFFFAOYSA-N,1,4,"{280912, 280913, 280914, 280915}",['iter2'],1,{1},[151287],"{62341, 139966}",[30933],Amidation,False,[124236],"A3665a, A4386a, A4202a"
151425,CC1CCC(C(N)=O)CN1C(=O)Cc1cccc(Cl)n1,GLLHLCSQZPIXBP-UHFFFAOYSA-N,1,4,"{277979, 277980, 277981, 277982}",['iter2'],1,{1},[150401],"{62373, 150406}",[30047],Amidation,False,[124230],A4283a
155987,Cc1ccc(CC(=O)N2CCC(C)(C(N)=O)C2)cc1,VUBOFFTWXAMREX-UHFFFAOYSA-N,1,2,"{300104, 300103}",['iter2'],1,{1},[154834],"{155412, 124422}",[34478],Amidation,False,[124237],A4317a
125343,CC1CC(C(N)=O)CN(C(=O)C(Br)c2ccccc2)C1,YWJZIRGTURDBAL-UHFFFAOYSA-N,1,15,"{216675, 216676, 216677, 216678, 216679, 216680, 216681, 216682, 221911, 221912, 221913, 221914, 221915, 221916, 221917}",['iter2'],1,{1},[123077],"{124242, 62371}",[2741],Amidation,False,[124229],"A3665a, A4386a, A4202a"
125076,NC(=O)C1(O)CCCN(C(=O)C(Cl)c2ccccc2)C1,KXTKMWFJCSPJCL-UHFFFAOYSA-N,1,7,"{221024, 221025, 215767, 215768, 215769, 215770, 221023}",['iter2'],1,{1},[122818],"{12491, 62375}",[2482],Amidation,False,[124229],"A3665a, A4386a, A4202a"
124989,Cc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,RZWGKYKJQDKHNP-UHFFFAOYSA-N,1,8,"{215496, 215497, 215498, 215499, 220758, 220759, 220760, 220761}",['iter2'],1,{1},[122734],"{124336, 62373}",[2398],Amidation,False,[124229],"A3665a, A4386a, A4202a"
152323,O=C1NC2CC1CN(C(=O)C1CCc3cccc(Br)c31)C2,YQQZQLVKVUMRTI-UHFFFAOYSA-N,1,2,"{280853, 280854}",['iter2'],1,{1},[151275],"{122577, 62378}",[30921],Amidation,False,[124236],"A3665a, A4386a, A4202a"
155901,NC(=O)C1(F)CCN(C(=O)Cc2cccc(Br)c2)C1,RVINIEXNLAHFGG-UHFFFAOYSA-N,1,2,"{299835, 299836}",['iter2'],1,{1},[154748],"{155369, 124254}",[34392],Amidation,False,[124237],A4317a
156377,NC(=O)C1(O)CCN(C(=O)C(Cl)c2ccccc2)C1,YTQNLYCKEXPBRP-UHFFFAOYSA-N,1,4,"{301384, 301385, 301382, 301383}",['iter2'],1,{1},[155224],"{12491, 155358}",[34868],Amidation,False,[124237],A4317a
156009,CNC(=O)C1CCN(C(=O)Cc2cccc(I)c2)C1,QUQSNIFUNBBKAV-UHFFFAOYSA-N,1,2,"{300165, 300166}",['iter2'],1,{1},[154856],"{155450, 124371}",[34500],Amidation,False,[124237],A4317a
125805,CC(C(=O)N1CCCC(F)(C(N)=O)C1)c1ccccc1,BCRJWVQIFGXUCI-UHFFFAOYSA-N,1,8,"{218060, 218061, 218062, 223311, 218063, 223312, 223313, 223314}",['iter2'],1,{1},[123530],"{124426, 62363}",[3193],Amidation,False,[124229],"A3665a, A4386a, A4202a"
