target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C125075,1,,,,O=C(O)C(Cl)c1ccccc1,NC(=O)C1(F)CCCNC1,NC(=O)C1(F)CCCN(C(=O)C(Cl)c2ccccc2)C1,Amidation,,
C125076,1,,,,O=C(O)C(Cl)c1ccccc1,NC(=O)C1(O)CCCNC1,NC(=O)C1(O)CCCN(C(=O)C(Cl)c2ccccc2)C1,Amidation,,
C152556,1,,,,O=C1NCC2CCNCC12,O=C(O)C1CCc2cccc(Cl)c21,O=C1NCC2CCN(C(=O)C3CCc4cccc(Cl)c43)CC12,Amidation,,
C156768,1,,,,O=C(O)C(Cl)c1ccccc1,NNC(=O)C1CCNC1,NNC(=O)C1CCN(C(=O)C(Cl)c2ccccc2)C1,Amidation,,
C156769,1,,,,O=C(O)C(Cl)c1ccccc1,NNC(=O)C1CCNC1,O=C(NNC(=O)C(Cl)c1ccccc1)C1CCNC1,Amidation,,
C125083,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)Cc1cccc(Cl)c1,NC(=O)C1(NC(=O)Cc2cccc(Cl)c2)CCCNC1,Amidation,,
C125084,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)Cc1cccc(Cl)c1,NC(=O)C1(N)CCCN(C(=O)Cc2cccc(Cl)c2)C1,Amidation,,
C156771,1,,,,O=C(O)Cc1ccccc1I,CC1(C(N)=O)CCNC1,CC1(C(N)=O)CCN(C(=O)Cc2ccccc2I)C1,Amidation,,
C150460,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccc(O)cn1,NC(=O)C1CCCN(C(=O)Cc2ccc(O)cn2)C1,Amidation,,
C152568,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)C1CCc2cccc(Cl)c21,NC(=O)C1(N)CCCN(C(=O)C2CCc3cccc(Cl)c32)C1,Amidation,,
C150462,1,,,,O=C1NC2CNCC1C2,O=C(O)Cc1ccc(O)cn1,O=C1NC2CC1CN(C(=O)Cc1ccc(O)cn1)C2,Amidation,,
C152571,1,,,,CNC(=O)C1CCCNC1,O=C(O)C1CCc2cccc(Cl)c21,CNC(=O)C1CCCN(C(=O)C2CCc3cccc(Cl)c32)C1,Amidation,,
C152572,1,,,,CC1CNCC(C(N)=O)C1,O=C(O)C1CCc2cccc(Cl)c21,CC1CC(C(N)=O)CN(C(=O)C2CCc3cccc(Cl)c32)C1,Amidation,,
C150467,1,,,,O=C1NC2CNCC1C2,Cc1ccnc(CC(=O)O)c1,Cc1ccnc(CC(=O)N2CC3CC(C2)C(=O)N3)c1,Amidation,,
C152573,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)C1CCc2cccc(Cl)c21,CC1CCC(C(N)=O)CN1C(=O)C1CCc2cccc(Cl)c21,Amidation,,
C150469,1,,,,NC(=O)C1CCCNC1,Cc1ccnc(CC(=O)O)c1,Cc1ccnc(CC(=O)N2CCCC(C(N)=O)C2)c1,Amidation,,
C152577,1,,,,NC(=O)C1(F)CCCNC1,O=C(O)C1CCc2cccc(Cl)c21,NC(=O)C1(F)CCCN(C(=O)C2CCc3cccc(Cl)c32)C1,Amidation,,
C152579,1,,,,NC(=O)C1(O)CCCNC1,O=C(O)C1CCc2cccc(Cl)c21,NC(=O)C1(O)CCCN(C(=O)C2CCc3cccc(Cl)c32)C1,Amidation,,
C156789,1,,,,NC(C(=O)O)c1cccc(Cl)c1,NC(=O)C1CCNC1,NC(=O)C1CCN(C(=O)C(N)c2cccc(Cl)c2)C1,Amidation,,
C158881,1,,,,O=C(O)Cc1ccccc1I,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3ccccc3I)CC21,Amidation,,
C156792,1,,,,O=C(O)C1Cc2ccccc21,NC(=O)C1(O)CCNC1,NC(=O)C1(O)CCN(C(=O)C2Cc3ccccc32)C1,Amidation,,
C156796,1,,,,O=C(O)C1Cc2ccccc21,NC(=O)C1(F)CCNC1,NC(=O)C1(F)CCN(C(=O)C2Cc3ccccc32)C1,Amidation,,
C156799,1,,,,O=C(O)Cc1ccccc1I,NNC(=O)C1CCNC1,NNC(=O)C1CCN(C(=O)Cc2ccccc2I)C1,Amidation,,
C156800,1,,,,O=C(O)Cc1ccccc1I,NNC(=O)C1CCNC1,O=C(Cc1ccccc1I)NNC(=O)C1CCNC1,Amidation,,
